Lease,Answer,Real answer,Correct
1,2022-01-25,2022-01-25,1
2,2023-11-22,2024-03-01,0
3,2023-10-11,2021-11-01,0
4,2010-07-06,2015-06-20,0
5,2007-11-20,1995-03-31,0
6,2023-10-28,2021-08-01,0
7,2009-02-10,2009-02-10,1
8,,2003-03-21,0
10,2018-06-05,2018-07-05,0
11,,2024-03-01,0
12,,2015-09-01,0
13,2017-10-01,2017-01-28,0
14,2023-10-27,2023-12-01,0
15,2017-04-01,2017-04-01,1
16,,2016-04-01,0
17,2021-05-01,2021-01-26,0
18,,2019-01-31,0
20,2020-10-01,2020-10-01,1
21,2007-04-27,2007-04-27,1
22,,2021-12-20,0
23,2007-09-28,2007-10-09,0
25,,2022-11-01,0
26,2019-09-01,2019-08-09,0
27,2006-05-30,2006-05-30,1
28,2007-09-01,2007-09-01,1
29,,2017-07-11,0
30,2016-06-20,2016-06-20,1
31,,2022-09-01,0
32,,2019-12-04,0
33,2022-01-31,2022-01-31,1
34,2022-01-31,2022-02-01,0
35,2021-10-29,2021-11-01,0
36,2022-08-04,2022-08-10,0
37,2018-08-01,2021-07-15,0
38,2021-01-14,2021-01-14,1
39,2021-09-24,2021-09-24,1
40,,2021-10-04,0
41,,2021-10-04,0
42,2021-08-10,2021-08-10,1
43,2021-06-15,2021-04-16,0
44,2023-07-01,2023-07-01,1
45,2020-01-29,2020-01-29,1
46,2021-08-10,2021-08-10,1
47,2020-01-01,2019-11-01,0
48,2022-10-01,2022-10-01,1
49,2012-02-01,2012-12-13,0
50,201_,2021-09-01,0
51,2022-09-22,2022-09-22,1
52,2022-12-07,2022-12-07,1
53,2023-10-28,2021-08-01,0
54,2021-03-17,2021-03-17,1
55,2022-09-28,2022-09-28,1
56,2017-02-02,2017-02-02,1
57,2022-10-20,2022-10-20,1
58,2021-09-01,2021-09-01,1
59,2006-05-19,2006-05-19,1
60,2022-04-01,2022-04-01,1
61,2020-10-01,2020-09-18,0
62,2022-09-22,2022-09-22,1
63,2020-08-26,2020-08-26,1
64,2021-01-18,2021-01-18,1
65,2021-01-18,2021-01-18,1
66,2017-02-02,2017-02-02,1
67,2013-08-07,2013-08-07,1
68,2017-02-02,2017-02-02,1
69,2021-01-06,2020-07-24,0
70,2020-09-01,2021-02-23,0
71,2022-04-01,2024-04-01,0
72,2022-04-01,2024-04-01,0
73,2023-03-01,2023-02-14,0
74,2019-12-16,2019-12-16,1
75,2015-04-26,2015-04-26,1
76,2023-10-01,2019-12-20,0
77,2015-10-19,2015-10-19,1
79,2021-02-26,2021-02-26,1
80,2019-10-31,2019-10-31,1
81,,2021-12-21,0
82,,2021-12-21,0
84,2015-10-19,2015-10-19,1
85,2015-04-26,2015-04-26,1
86,2023-03-01,2023-02-14,0
87,2023-02-14,2023-02-14,1
88,2022-04-01,2022-04-01,1
90,2019-10-31,2019-10-31,1
91,,2020-12-22,0
92,2021-02-26,2021-02-26,1
93,,2018-01-29,0
94,1988-02-08,1988-02-08,1
95,2021-07-19,2021-07-19,1
96,2020-01-01,2020-01-01,1
97,2021-11-01,2021-09-24,0
98,2020-03-30,2020-03-30,1
99,2020-01-09,2020-01-09,1
100,2013-08-07,2013-08-07,1
