Lease,Answer,Real answer,Correct
1,YYYY-MM-DD,2027-01-25,0
2,2024-04-01,2029-03-31,0
4,2021-07-31,2021-07-31,1
5,2012-03-31,2005-03-31,0
6,YYYY-MM-DD,2023-08-01,0
7,2020-01-31,2020-01-31,1
10,2020-02-01,2020-01-31,0
11,2027-02-28,2027-02-28,1
12,YYYY-MM-DD,2025-09-01,0
13,2022-09-30,2022-09-30,1
14,2033-10-01,2033-12-01,0
15,2022-04-01,2022-11-01,0
16,2019-03-31,2019-03-31,1
17,2026-05-01,2026-08-01,0
20,,2032-02-29,0
21,YYYY-MM-DD,2017-10-31,0
22,,2035-02-01,0
23,,2017-10-09,0
25,2033-11-01,2033-11-01,1
26,2024-08-31,2029-12-01,0
28,2014-08-31,2014-09-01,0
29,2026-08-31,2026-08-31,1
30,YYYY-MM-DD,2019-08-31,0
31,2037-12-31,2037-09-01,0
32,YYYY-MM-DD,2031-02-01,0
33,2023-01-31,2023-01-31,1
34,2023-01-31,2023-01-31,1
35,2022-10-31,2022-10-31,1
38,2036-12-31,2036-12-01,0
39,2026-10-31,2026-10-31,1
40,,2027-02-01,0
41,,2027-02-01,0
43,2023-06-30,2023-06-30,1
44,2025-01-01,2033-06-01,0
45,2023-02-01,2023-01-31,0
46,,2028-12-01,0
47,2025-01-01,2025-01-01,1
48,2027-10-31,2027-10-31,1
49,2019-01-31,2019-01-31,1
51,2023-09-30,2023-09-30,1
52,2024-12-31,2024-12-31,1
53,2023-08-01,2023-08-01,1
54,2028-07-31,2028-08-01,0
55,2023-12-31,2023-12-31,1
56,,2029-08-01,0
57,2027-10-19,2027-10-19,1
58,2026-02-28,2026-02-28,1
59,,2016-02-29,0
60,2027-04-01,2027-04-01,1
61,,2020-12-31,0
62,2023-09-30,2023-09-30,1
63,2022-10-05,2022-10-05,1
64,2024-01-17,2024-01-17,1
65,2022-01-17,2022-01-17,1
66,2029-08-01,2029-08-01,1
67,2023-08-06,2023-08-07,0
68,,2029-11-01,0
70,2021-07-01,2021-07-01,1
71,2027-04-01,2029-04-01,0
72,2027-04-01,2029-04-01,0
73,2028-03-01,2028-03-01,1
74,2020-12-31,2020-12-31,1
75,2022-04-30,2022-04-30,1
76,2024-10-30,2019-06-28,0
77,YYYY-MM-DD,2026-05-01,0
78,,2026-12-01,0
79,2023-02-25,2022-10-02,0
80,2021-10-31,2021-10-31,1
81,2022-12-21,2022-12-21,1
82,2022-12-21,2022-12-21,1
83,2026-12-01,2026-12-01,1
84,2026-05-01,2026-05-01,1
85,2022-04-30,2022-04-30,1
86,2028-03-01,2028-03-01,1
87,2028-03-01,2028-03-01,1
88,2027-04-01,2027-04-01,1
89,2027-10-19,2027-10-19,1
90,2021-10-31,2021-10-31,1
91,2024-01-01,2021-12-22,0
92,2023-02-25,2022-10-02,0
93,YYYY-MM-DD,2023-06-30,0
94,,2138-12-01,0
95,2031-08-11,2031-08-11,1
96,2022-12-31,2022-12-31,1
97,2026-10-31,2026-10-31,1
98,2022-03-29,2022-03-29,1
99,2025-01-31,2025-01-31,1
100,2023-08-06,2023-08-07,0
