Lease,Answer,Real answer,Correct
1,Kyle J. Beller,"BarBell Real Estate, LLC",0
2,Augmedix Bangladesh Ltd.,Sony Chocolate Industries Ltd,0
3,The name of the lessor in the agreement is Licensor.,The Wheelership LLC,0
4,"Venable Tenant, LLC","Venable Tenant, LLC",1
5,Marathon Business,Wyomissing Professional Center III Limited Partnership,0
6,The name of the lessor in the agreement is Lessor.,Hooten Non Exempt Family Trust B,0
7,Landlord,"AR Industrial No. 1, Ltd",0
8,"Village Corner, LLC","Village Corner, LLC",1
9,Blackstone,GH4 Partners LLC,0
10,The name of the lessor in the agreement is Landlord.,"YESCO Properties, LLC",0
11,"HOLDER INVESTMENTS, INC.","Holder Investments, Inc",1
12,"Orwig Property Management Center Square, LLC",ORWIG PROPERTY MANAGEMENT CENTER SQUARE LLC,1
13,The name of the lessor in the agreement is Landlord.,Douglas R. Rippel,0
14,The name of the lessor in the agreement is Landlord.,"Adairsville GA, LLC",0
15,The name of the lessor in the agreement is LESSOR.,"Narcoossee Acquisitions, LLC",0
16,"Exponent Realty, LLC","EXPONENT REALTY, LLC",1
17,Landlord.,"SRE TKC CHARLESTON IV, LLC",0
18,The name of the lessor in the agreement is Ground Lessor.,"BOYER RESEARCH PARK ASSOCIATES X, L.C.",0
19,The name of the lessor in the agreement is Lessor.,Chicago Executive Airport,0
20,"UP 64 SIDNEY STREET, LLC","UP 64 SIDNEY STREET, LLC",1
21,Landlord,"INDUSTRIAL DEVELOPMENTS INTERNATIONAL, INC.",0
22,Cushman & Wakefield and CBRE,"ARE-MA REGION NO. 75, LLC",0
23,Landlord,"MEADOWS OFFICE, L.L.C.",0
24,Owner,"APT Cowork, LLC",0
25,Landlord,"Wilks Ranch Texas, LTD",0
26,Landlord,"ARE-708 QUINCE ORCHARD, LLC",0
27,Lessor,"FARNAM STREET FINANCIAL, INC",0
28,"INDUSTRIAS ASOCIADAS MAQUILADORAS, S. A. DE C. V.","Industrias Asociadas Maquiladoras, S.A. de C.V.",1
29,F.E.R. Fischer Edelstahlrohre GmbH,fischer group SE & Co. KG,0
30,"Eagle 1 Investments, L.L.C.","Eagle I Investments, L.L.C.",1
31,"Oak Street Real Estate Capital, LLC",CTROOK002 LLC,0
32,Dan Tsang,"ARE-SAN FRANCISCO NO. 63, LLC",0
33,Landa Properties LLC,Landa Properties LLC,1
34,Landa App LLC - 1703 Summerwoods Lane Griffin GA LLC,Landa App LLC - 1703 Summerwoods Lane Griffin GA LLC,1
35,Landa Properties LLC,Landa Properties LLC,1
36,The name of the lessor in the agreement is Landlord.,PINAL COUNTY,0
37,Anthony Nigel Sampson,Anthony Nigel Sampson,1
38,"ARE-SD REGION NO. 71, LLC, a Delaware limited liability company","ARE-SD REGION NO. 71, LLC",0
39,"Cargill, Incorporated","CARGILL, INCORPORATED",1
40,The name of the lessor in the agreement is Landlord.,"BERNARDO WINDELL, LLC",0
41,The name of the lessor in the agreement is Landlord.,"BERNARDO WINDELL, LLC",0
42,100 Chesapeake Blvd LLC,100 CHESAPEAKE BLVD LLC,1
43,The name of the lessor in the agreement is Landlord.,"Hudson Towers at Shore Center, LLC, a Delaware limited liability company",0
44,"Wisconsin Fertility and Reproductive Associates, S.C.","Taylyn Holdings, LLC",0
45,Minoan Capital Pty Ltd,MINOAN CAPITAL PTY LTD,1
46,"Clene Nanomedicine, Inc.","UPPER CHEASPEAKE FLEX ONE, LLC",0
47,"Apple Moving, Inc.","Apple Moving, Inc.",1
48,The name of the lessor in the agreement is Landlord.,Sunrise Nominee Trust,0
49,"Cruiser Lane, LLC","Cruiser Lane, LLC",1
50,"The name of the lessor in the agreement is ""Landlord"".",NWP BUILDING 20 LLC,0
51,Phil Bosua,Phil Bosua,1
52,Visions Federal Credit Union,VISIONS FEDERAL CREDIT UNION,1
53,Hooten Non Exempt Family Trust B,Hooten Non Exempt Family Trust B,1
54,Lessor,Trustmark National Bank,0
55,"Price-Poore House, LLC","Price-Poore House, LLC",1
56,State of Wyoming,State of Wyoming,1
57,"Queen Mary and Westfield College, University of London.",Queen Mary Bioenterprises Limited,0
58,"Sichuan Anyi Hengke Technology Co., Ltd.","Sichuan Anyi Hengke Technology Co., Ltd.",1
59,The name of the lessor in the agreement is Lessor.,"GIFFORD INVESTMENTS, INC.",0
60,"The name of the lessor in the agreement is ""the Lessor.""",Kathryn Joy Atkinson,0
61,"Overlook At Rob Roy Owner (Delaware), LLC","Overlook At Rob Roy Owner, LLC",1
62,Phil Bosua,Phil Bosua,1
63,"Hangzhou Zhexin Information Technology Co., LTD","Hangzhou Zhexin Information Technology Co., LTD",1
64,"Beijing Guochuan Borui Technology Co., Ltd.","Beijing Guochuan Borui Technology Co., Ltd.",1
65,"Beijing Guochuan Borui Technology Co., Ltd.","Beijing Guochuan Borui Technology Co., Ltd.",1
66,STATE OF WYOMING,STATE OF WYOMING,1
67,"Bacterin International, Inc.",McCLELLAN FARM,0
68,STATE OF WYOMING,STATE OF WYOMING,1
69,"105 W First Street Owner, L.L.C., A Delaware Limited Liability Company","105 W. First Street Owner, L.L.C.",0
70,Mundo Talio SL,Mundo Talio SL,1
71,Steven Atkinson (Landlord),Steven and Janet Atkinson,0
