Lease,Answer,Real answer,Correct
78,"Rehco Holdings, LLC","Rehco Holdings, LLC",1
68,STATE Of Wyoming,STATE OF WYOMING,1
76,"E. Canary is a tenant at lands and premises municipally known as 385 Second Avenue West, Simcoe, Ontario (the “Premises”) pursuant to a Lease made the 28th day of June, 2018 between E. & E. McLaughlin Ltd., as Landlord, and Canary, as Tenant (the “Lease”).",TARGET GROUP INC.,0
22,Cushman & Wakefield,"ARE-MA REGION NO. 75, LLC",0
92,Ever Winland Limited,Ever Winland Limited,1
99,Wickfield Properties LLC,Wickfield Phoenix LLC,1
80,"The name of the lessor in the agreement is not explicitly stated in the provided source document. However, the term 'Landlord' is used throughout the document to refer to the lessor.",Ailanthus L.L.C.,0
84,"MALONE RTE 2 WATERBURY PROPERTIES, LLC","MALONE US ROUTE 2 WATERBURY PROPERTIES, LLC",1
39,"Cargill, Incorporated","CARGILL, INCORPORATED",1
4,"Venable Tenant, LLC","Venable Tenant, LLC",1
11,"HOLDER INVESTMENTS, INC.","Holder Investments, Inc",1
69,"105 W First Street Owner, L.L.C., a Delaware limited liability company","105 W. First Street Owner, L.L.C.",0
1,Kyle J. Beller / Manager,"BarBell Real Estate, LLC",0
82,VT Equipment Leasing LLC,VT Equipment Leasing LLC,1
42,100 Chesapeake Blvd LLC,100 CHESAPEAKE BLVD LLC,1
53,The name of the lessor in the agreement is Lessor.,Hooten Non Exempt Family Trust B,0
85,"Le-Mar Holdings, Inc., a Texas corporation.","HP LUMINA, LLC",0
27,The name of the lessor in the agreement is Lessor.,"FARNAM STREET FINANCIAL, INC",0
9,GH4 Partners LLC,GH4 Partners LLC,1
40,"The name of the lessor in the agreement is not explicitly stated in the provided source document. However, it refers to the lessor as the ""owner or owners, at the time in question, of the fee title of the Building.""","BERNARDO WINDELL, LLC",0
51,Phil Bosua,Phil Bosua,1
87,ALC Aircraft Limited,ALC Aircraft Limited,1
65,"Beijing Guochuan Borui Technology Co., Ltd.","Beijing Guochuan Borui Technology Co., Ltd.",1
88,The name of the lessor in the agreement is not explicitly stated in the provided source document.,Steven and Janet Atkinso,0
29,F.E.R. Fischer Edelstahlrohre GmbH,fischer group SE & Co. KG,0
67,"Bacterin International, Inc.",McCLELLAN FARM,0
12,"Orwig Property Management Center Square, LLC",ORWIG PROPERTY MANAGEMENT CENTER SQUARE LLC,1
45,Minoan Capital Pty Ltd,MINOAN CAPITAL PTY LTD,1
17,"The name of the lessor in the agreement is not explicitly stated in the provided source document. The document refers to the lessor as ""Landlord"" in certain contexts, but does not provide a specific name.","SRE TKC CHARLESTON IV, LLC",0
55,"Price-Poore House, LLC","Price-Poore House, LLC",1
25,"The name of the lessor in the agreement is not explicitly stated in the provided source document. However, the term 'Landlord' is used throughout the document to refer to the lessor.","Wilks Ranch Texas, LTD",0
14,The name of the lessor in the agreement is not explicitly stated in the provided source document.,"Adairsville GA, LLC",0
70,Mundo Talio SL,Mundo Talio SL,1
36,"The name of the lessor in the agreement is not explicitly stated in the provided source document. However, it is referred to as ""Landlord"" in certain cases.",PINAL COUNTY,0
8,"Village Corner, LLC","Village Corner, LLC",1
34,Landa App LLC - 1703 Summerwoods Lane Griffin GA LLC,Landa App LLC - 1703 Summerwoods Lane Griffin GA LLC,1
52,Visions Federal Credit Union,VISIONS FEDERAL CREDIT UNION,1
19,"The name of the lessor in the agreement is not explicitly stated in the provided source document. However, it is referred to as 'Lessor' throughout the text.",Chicago Executive Airport,0
43,"_______________________________, a ________________________","Hudson Towers at Shore Center, LLC, a Delaware limited liability company",0
15,"The name of the lessor in the agreement is not explicitly stated in the provided source document. The terms ""LESSOR"" and ""LESSEE"" are used generically without specific names.","Narcoossee Acquisitions, LLC",0
21,The name of the lessor in the agreement is Landlord.,"INDUSTRIAL DEVELOPMENTS INTERNATIONAL, INC.",0
59,The name of the lessor in the agreement is not explicitly stated in the provided source document.,"GIFFORD INVESTMENTS, INC.",0
96,"The name of the lessor in the agreement is not explicitly stated in the provided source document. However, the lessor is referred to as ""Landlord"" in certain cases.","UCB, INC.",0
47,"Apple Moving, Inc.","Apple Moving, Inc.",1
3,The name of the lessor in the agreement is Licensor.,The Wheelership LLC,0
57,"Queen Mary and Westfield College, University of London.",Queen Mary Bioenterprises Limited,0
16,"Exponent Realty, LLC","EXPONENT REALTY, LLC",1
72,"The name of the lessor in the agreement is not explicitly stated in the provided source document. However, it is referred to as 'the Lessor' throughout the text.",Kathryn Joy Atkinson,0
6,The name of the lessor in the agreement is Lessor.,Hooten Non Exempt Family Trust B,0
83,"Rehco Holdings, LLC","Rehco Holdings, LLC",1
49,"Cruiser Lane, LLC","Cruiser Lane, LLC",1
86,ALC Aircraft Limited,ALC Aircraft Limited,1
95,Mo Industripark AS,Mo Industripark AS,1
26,"Alexandria Real Estate Equities, Inc.","ARE-708 QUINCE ORCHARD, LLC",0
20,"UP 64 SIDNEY STREET, LLC","UP 64 SIDNEY STREET, LLC",1
44,"Wisconsin Fertility and Reproductive Associates, S.C.","Taylyn Holdings, LLC",0
63,"Hangzhou Zhexin Information Technology Co., LTD","Hangzhou Zhexin Information Technology Co., LTD",1
50,"The name of the lessor in the agreement is not explicitly stated in the provided source document. The term 'Landlord' is used, but it does not provide a specific name.",NWP BUILDING 20 LLC,0
89,Queen Mary Bioenterprises Limited,Queen Mary Bioenterprises Limited,1
41,"The name of the lessor in the agreement is not explicitly stated in the provided source document. However, it refers to the lessor as the ""owner or owners, at the time in question, of the fee title of the Building.""","BERNARDO WINDELL, LLC",0
93,The name of the lessor in the agreement is Landlord.,"Penta Partners, LLC",0
61,"Overlook At Rob Roy Owner (Delaware), LLC","Overlook At Rob Roy Owner, LLC",1
31,"Oak Street Real Estate Capital, LLC",CTROOK002 LLC,0
2,Augmedix Bangladesh Ltd.,Sony Chocolate Industries Ltd,0
58,"Sichuan Anyi Hengke Technology Co., Ltd.","Sichuan Anyi Hengke Technology Co., Ltd.",1
7,"The name of the lessor in the agreement is not explicitly stated in the provided source document. However, the term 'Landlord' is used to refer to the lessor.","AR Industrial No. 1, Ltd",0
24,"Cottonwood Capital Management, Inc., a Delaware corporation","APT Cowork, LLC",0
71,Steven Atkinson,Steven and Janet Atkinson,0
56,State of Wyoming,State of Wyoming,1
98,"Beijing Hontao Management Consulting Co., Ltd.","Beijing Hontao Management Consulting Co., Ltd.",1
