Lease,Answer,Real answer,Correct
1,Lessor,"BarBell Real Estate, LLC",0
2,landlord,Sony Chocolate Industries Ltd,0
3,,The Wheelership LLC,0
4,Lessor,"Venable Tenant, LLC",0
5,landlord,Wyomissing Professional Center III Limited Partnership,0
6,Lessor,Hooten Non Exempt Family Trust B,0
7,Lessor,"AR Industrial No. 1, Ltd",0
8,landlord,"Village Corner, LLC",0
9,Lessor,GH4 Partners LLC,0
10,landlord,"YESCO Properties, LLC",0
11,Lessor,"Holder Investments, Inc",0
12,Lessor,ORWIG PROPERTY MANAGEMENT CENTER SQUARE LLC,0
13,Lessor,Douglas R. Rippel,0
14,Lessor,"Adairsville GA, LLC",0
15,landlord,"Narcoossee Acquisitions, LLC",0
16,Lessor,"EXPONENT REALTY, LLC",0
17,Lessor,"SRE TKC CHARLESTON IV, LLC",0
18,Lessor,"BOYER RESEARCH PARK ASSOCIATES X, L.C.",0
19,,Chicago Executive Airport,0
20,,"UP 64 SIDNEY STREET, LLC",0
21,landlord,"INDUSTRIAL DEVELOPMENTS INTERNATIONAL, INC.",0
22,Lessor,"ARE-MA REGION NO. 75, LLC",0
23,Lessor,"MEADOWS OFFICE, L.L.C.",0
24,Lessor,"APT Cowork, LLC",0
25,Lessor,"Wilks Ranch Texas, LTD",0
26,landlord,"ARE-708 QUINCE ORCHARD, LLC",0
27,Lessor,"FARNAM STREET FINANCIAL, INC",0
28,landlord,"Industrias Asociadas Maquiladoras, S.A. de C.V.",0
29,landlord,fischer group SE & Co. KG,0
30,landlord,"Eagle I Investments, L.L.C.",0
31,Lessor,CTROOK002 LLC,0
32,Lessor,"ARE-SAN FRANCISCO NO. 63, LLC",0
33,landlord,Landa Properties LLC,0
34,Lessor,Landa App LLC - 1703 Summerwoods Lane Griffin GA LLC,0
35,Lessor,Landa Properties LLC,0
36,Lessor,PINAL COUNTY,0
37,Lessor,Anthony Nigel Sampson,0
38,landlord,"ARE-SD REGION NO. 71, LLC",0
39,Lessor,"CARGILL, INCORPORATED",0
40,Lessor,"BERNARDO WINDELL, LLC",0
41,,"BERNARDO WINDELL, LLC",0
42,Lessor,100 CHESAPEAKE BLVD LLC,0
43,landlord,"Hudson Towers at Shore Center, LLC, a Delaware limited liability company",0
44,Lessor,"Taylyn Holdings, LLC",0
45,landlord,MINOAN CAPITAL PTY LTD,0
46,landlord,"UPPER CHEASPEAKE FLEX ONE, LLC",0
47,landlord,"Apple Moving, Inc.",0
48,Lessor,Sunrise Nominee Trust,0
49,Lessor,"Cruiser Lane, LLC",0
50,landlord,NWP BUILDING 20 LLC,0
51,Lessor,Phil Bosua,0
52,landlord,VISIONS FEDERAL CREDIT UNION,0
53,Lessor,Hooten Non Exempt Family Trust B,0
54,Lessor,Trustmark National Bank,0
55,Lessor,"Price-Poore House, LLC",0
56,landlord,State of Wyoming,0
57,Lessor,Queen Mary Bioenterprises Limited,0
58,Lessor,"Sichuan Anyi Hengke Technology Co., Ltd.",0
59,Lessor,"GIFFORD INVESTMENTS, INC.",0
60,Lessor,Kathryn Joy Atkinson,0
61,landlord,"Overlook At Rob Roy Owner, LLC",0
62,Lessor,Phil Bosua,0
63,Lessor,"Hangzhou Zhexin Information Technology Co., LTD",0
64,landlord,"Beijing Guochuan Borui Technology Co., Ltd.",0
65,Lessor,"Beijing Guochuan Borui Technology Co., Ltd.",0
66,Lessor,STATE OF WYOMING,0
67,Lessor,McCLELLAN FARM,0
68,landlord,STATE OF WYOMING,0
69,Lessor,"105 W. First Street Owner, L.L.C.",0
70,Lessor,Mundo Talio SL,0
71,,Steven and Janet Atkinson,0
72,Lessor,Kathryn Joy Atkinson,0
73,Lessor,ALC Aircraft Limited,0
74,Lessor,"5550 Nicollet, LLC",0
75,landlord,"HP LUMINA, LLC",0
76,Lessor,TARGET GROUP INC.,0
77,Lessor,"MALONE US ROUTE 2 WATERBURY PROPERTIES, LLC",0
78,Lessor,"Rehco Holdings, LLC",0
79,landlord,Ever Winland Limited,0
80,landlord,Ailanthus L.L.C.,0
81,Lessor,VT Aviation Leasing LLC,0
82,Lessor,VT Equipment Leasing LLC,0
83,Lessor,"Rehco Holdings, LLC",0
84,Lessor,"MALONE US ROUTE 2 WATERBURY PROPERTIES, LLC",0
85,Lessor,"HP LUMINA, LLC",0
86,Lessor,ALC Aircraft Limited,0
87,landlord,ALC Aircraft Limited,0
88,landlord,Steven and Janet Atkinso,0
89,Lessor,Queen Mary Bioenterprises Limited,0
90,Lessor,Ailanthus L.L.C.,0
91,landlord,"WESTWIND ACQUISITION COMPANY, L.L.C.",0
92,Lessor,Ever Winland Limited,0
93,landlord,"Penta Partners, LLC",0
94,Lessor,THE COUNCIL OF THE CITY OF MANCHESTER,0
95,landlord,Mo Industripark AS,0
96,landlord,"UCB, INC.",0
97,landlord,"CARGILL, INCORPORATED",0
98,landlord,"Beijing Hontao Management Consulting Co., Ltd.",0
99,landlord,Wickfield Phoenix LLC,0
100,Lessor,McCLELLAN FARM,0
