Lease,Answer,Real answer,Correct
68,2019-11-02,2017-02-02,0
76,2018-06-28,2019-12-20,0
22,2023-10-01,2021-12-20,0
92,2020-12-15,2021-02-26,0
99,2020-01-09,2020-01-09,1
80,2019-10-31,2019-10-31,1
84,2015-10-01,2015-10-19,0
39,2021-11-01,2021-09-24,0
4,2019-05-01,2015-06-20,0
11,2023-10-01,2024-03-01,0
69,2021-01-06,2020-07-24,0
1,2022-01-25,2022-01-25,1
82,2021-12-21,2021-12-21,1
42,2021-08-10,2021-08-10,1
53,2021-08-01,2021-08-01,1
85,2015-04-26,2015-04-26,1
27,2023-10-01,2006-05-30,0
40,2021-12-01,2021-10-04,0
51,2022-09-22,2022-09-22,1
87,2023-03-01,2023-02-14,0
65,2021-01-18,2021-01-18,1
88,2022-04-01,2022-04-01,1
29,2021-08-30,2017-07-11,0
67,2013-08-07,2013-08-07,1
12,2023-10-01,2015-09-01,0
45,2020-01-28,2020-01-29,0
17,2021-05-01,2021-01-26,0
55,2022-09-28,2022-09-28,1
25,2022-11-01,2022-11-01,1
14,2023-10-01,2023-12-01,0
70,2020-09-01,2021-02-23,0
36,2023-10-01,2022-08-10,0
8,2023-10-01,2003-03-21,0
34,2022-01-05,2022-02-01,0
52,2022-12-07,2022-12-07,1
43,2021-06-01,2021-04-16,0
15,2017-04-01,2017-04-01,1
21,2007-10-01,2007-04-27,0
59,2006-05-19,2006-05-19,1
96,2020-01-01,2020-01-01,1
47,2019-10-30,2019-11-01,0
3,2023-10-01,2021-11-01,0
57,2022-10-20,2022-10-20,1
16,2016-04-01,2016-04-01,1
72,2022-04-01,2024-04-01,0
6,2023-10-01,2021-08-01,0
49,2012-02-01,2012-12-13,0
86,2023-02-14,2023-02-14,1
95,2021-07-19,2021-07-19,1
26,2019-09-01,2019-08-09,0
20,2020-10-01,2020-10-01,1
44,2020-10-01,2023-07-01,0
63,2020-08-26,2020-08-26,1
50,2022-02-01,2021-09-01,0
41,2021-12-01,2021-10-04,0
93,2018-01-01,2018-01-29,0
61,2020-10-01,2020-09-18,0
31,2022-01-01,2022-09-01,0
2,2023-11-22,2024-03-01,0
58,2021-09-01,2021-09-01,1
7,2023-10-01,2009-02-10,0
71,2022-04-01,2024-04-01,0
56,2019-08-02,2017-02-02,0
98,2020-03-30,2020-03-30,1
