Lease,Answer,Real answer,Correct
78,2021-12-01,2021-12-01,1
68,2019-11-02,2019-11-02,1
76,2018-06-28,2018-06-28,1
22,2023-10-01,2023-11-30,0
92,2021-02-26,2020-12-15,0
99,2020-02-01,2020-02-01,1
80,2019-11-01,2019-11-01,1
84,2016-05-01,2016-05-01,1
39,2021-11-01,2021-11-01,1
4,2019-05-01,2010-10-01,0
11,2024-03-01,2024-03-01,1
69,2022-03-24,2022-03-24,1
1,2022-01-25,2022-01-25,1
82,2021-12-21,2021-12-21,1
53,2021-08-01,2021-08-01,1
85,2015-04-26,2015-04-26,1
40,2021-12-01,2021-12-01,1
51,2021-09-01,2021-09-01,1
87,2023-03-01,2023-03-01,1
65,2021-01-18,2021-01-18,1
88,2022-04-01,2022-04-01,1
29,2021-09-01,2021-09-01,1
67,2013-08-07,2013-08-07,1
12,2023-10-01,2015-09-01,0
45,2020-02-01,2020-02-01,1
17,2021-05-01,2021-05-01,1
55,2022-10-01,2022-10-01,1
25,2022-11-01,2022-11-01,1
14,2023-10-01,2023-12-01,0
70,2020-09-01,2020-09-01,1
34,2022-02-01,2022-02-01,1
52,2023-01-01,2023-01-01,1
43,2021-06-01,2021-06-01,1
15,2017-04-01,2017-04-01,1
21,2007-10-01,2007-10-01,1
59,2006-03-01,2006-03-01,1
96,2020-01-01,2020-01-01,1
47,2019-11-01,2019-11-01,1
57,2022-10-20,2022-10-20,1
16,2016-04-01,2016-04-01,1
72,2022-04-01,2024-04-01,0
6,2023-10-01,2021-08-01,0
83,2021-12-01,2021-12-01,1
49,2012-02-01,2021-02-01,0
86,2023-03-01,2023-03-01,1
95,2021-08-12,2021-08-12,1
26,2019-09-01,2019-09-01,1
20,2025-03-01,2020-06-01,0
44,2020-10-01,2023-06-01,0
63,2020-09-11,2020-09-11,1
89,2022-10-20,2022-10-20,1
41,2021-12-01,2021-12-01,1
93,2018-01-01,2018-01-01,1
61,2020-10-01,2020-10-01,1
31,2022-01-01,2022-09-01,0
2,2024-03-01,2024-03-01,1
58,2021-09-01,2021-09-01,1
7,2023-10-01,2010-01-31,0
71,2022-04-01,2024-04-01,0
56,2019-08-02,2019-08-02,1
98,2020-03-30,2020-03-20,0
