Lease,Answer,Real answer,Correct
78,2026-11-30,2026-12-01,0
68,2029-11-01,2029-11-01,1
76,2023-06-28,2019-06-28,0
22,20XX-XX-XX,2035-02-01,0
92,2023-02-25,2022-10-02,0
99,2025-01-31,2025-01-31,1
80,2021-10-31,2021-10-31,1
84,2016-05-01,2026-05-01,0
39,2026-10-31,2026-10-31,1
4,2024-07-31,2021-07-31,0
11,2027-02-28,2027-02-28,1
1,2022-01-25,2027-01-25,0
82,2022-12-21,2022-12-21,1
53,2023-08-01,2023-08-01,1
85,2022-04-30,2022-04-30,1
40,2026-11-30,2027-02-01,0
51,2023-09-30,2023-09-30,1
87,2028-03-01,2028-03-01,1
65,2022-01-17,2022-01-17,1
88,2027-04-01,2027-04-01,1
29,2026-08-31,2026-08-31,1
67,2023-08-07,2023-08-07,1
12,2023-10-31,2025-09-01,0
45,2023-01-31,2023-01-31,1
17,2026-05-31,2026-08-01,0
55,2023-12-31,2023-12-31,1
25,2033-11-01,2033-11-01,1
14,2023-10-31,2033-12-01,0
70,2021-07-31,2021-07-01,0
34,2023-01-31,2023-01-31,1
52,2024-12-31,2024-12-31,1
43,2023-06-01,2023-06-30,0
15,2022-10-31,2022-11-01,0
21,2017-12-31,2017-10-31,0
59,2016-02-29,2016-02-29,1
96,2022-12-31,2022-12-31,1
47,2025-01-01,2025-01-01,1
57,2027-10-19,2027-10-19,1
16,2019-03-31,2019-03-31,1
72,2027-03-31,2029-04-01,0
6,2023-10-31,2023-08-01,0
83,2026-11-30,2026-12-01,0
49,2019-01-31,2019-01-31,1
86,2028-03-01,2028-03-01,1
95,2031-08-11,2031-08-11,1
26,2030-11-30,2029-12-01,0
20,2032-02-29,2032-02-29,1
44,2033-10-01,2033-06-01,0
63,2022-10-05,2022-10-05,1
89,2027-10-19,2027-10-19,1
41,2024-11-30,2027-02-01,0
93,2023-06-30,2023-06-30,1
61,2023-10-01,2020-12-31,0
31,2037-12-31,2037-09-01,0
2,2025-03-31,2029-03-31,0
58,2026-02-28,2026-02-28,1
7,2024-12-31,2020-01-31,0
71,2027-04-01,2029-04-01,0
56,2029-08-01,2029-08-01,1
98,2022-03-29,2022-03-29,1
