Lease,Answer,Real answer,Correct
78,True,0.0,0
68,False,0.0,1
76,False,0.0,1
22,True,1.0,1
92,False,0.0,1
99,False,0.0,1
80,False,1.0,0
84,True,1.0,1
39,False,0.0,1
4,True,1.0,1
11,True,0.0,0
1,False,0.0,1
82,True,0.0,0
42,True,1.0,1
53,True,0.0,0
85,True,0.0,0
27,True,0.0,0
9,False,0.0,1
40,True,1.0,1
51,True,0.0,0
87,False,0.0,1
65,True,1.0,1
88,True,1.0,1
29,True,1.0,1
67,True,1.0,1
12,True,1.0,1
45,False,0.0,1
17,True,1.0,1
55,False,0.0,1
25,True,1.0,1
14,True,1.0,1
70,True,0.0,0
36,False,0.0,1
8,True,1.0,1
34,True,1.0,1
52,True,1.0,1
19,False,0.0,1
43,False,0.0,1
15,True,1.0,1
21,False,0.0,1
59,False,0.0,1
96,True,0.0,0
47,True,1.0,1
3,False,0.0,1
57,False,0.0,1
16,True,1.0,1
72,True,1.0,1
6,True,0.0,0
83,True,0.0,0
49,True,1.0,1
86,False,0.0,1
95,True,1.0,1
20,True,1.0,1
44,True,1.0,1
63,True,1.0,1
50,False,0.0,1
89,False,0.0,1
41,True,1.0,1
93,True,1.0,1
61,True,0.0,0
31,True,1.0,1
2,True,1.0,1
58,True,1.0,1
7,False,1.0,0
24,False,0.0,1
71,True,1.0,1
