Lease,Answer,Real answer,Correct
78,False,1.0,0
68,False,0.0,1
76,False,0.0,1
22,False,1.0,0
92,False,0.0,1
99,True,1.0,1
80,False,1.0,0
84,True,1.0,1
39,True,1.0,1
4,True,1.0,1
11,False,1.0,0
1,True,1.0,1
82,True,0.0,0
42,True,0.0,0
53,False,1.0,0
85,True,1.0,1
27,False,1.0,0
9,False,0.0,1
40,True,1.0,1
51,False,1.0,0
87,True,0.0,0
65,False,1.0,0
88,True,1.0,1
29,False,1.0,0
67,False,1.0,0
12,False,1.0,0
45,False,0.0,1
17,True,0.0,0
55,True,1.0,1
25,False,1.0,0
14,True,1.0,1
70,True,1.0,1
36,True,1.0,1
8,False,1.0,0
34,False,0.0,1
52,False,1.0,0
19,False,1.0,0
43,False,1.0,0
15,False,0.0,1
21,True,1.0,1
59,False,1.0,0
96,True,1.0,1
47,False,0.0,1
3,True,1.0,1
57,True,1.0,1
16,False,1.0,0
72,True,1.0,1
6,True,1.0,1
83,True,1.0,1
49,False,0.0,1
86,True,0.0,0
95,False,1.0,0
26,False,1.0,0
20,True,1.0,1
44,True,1.0,1
63,True,1.0,1
50,False,0.0,1
89,True,1.0,1
41,True,1.0,1
93,False,1.0,0
61,False,1.0,0
31,True,0.0,0
2,True,1.0,1
58,True,1.0,1
7,True,1.0,1
24,False,1.0,0
71,True,1.0,1
56,False,0.0,1
98,True,1.0,1
