Lease,Answer,Real answer,Correct
1,True,1.0,1
2,True,1.0,1
3,True,1.0,1
4,True,1.0,1
5,True,1.0,1
6,True,1.0,1
7,True,1.0,1
8,True,1.0,1
9,True,1.0,1
10,True,1.0,1
11,True,1.0,1
12,True,1.0,1
13,True,1.0,1
14,True,1.0,1
15,True,1.0,1
16,True,1.0,1
17,True,1.0,1
18,True,1.0,1
19,True,1.0,1
20,True,1.0,1
21,True,1.0,1
22,True,1.0,1
23,True,1.0,1
24,True,1.0,1
25,True,1.0,1
26,True,1.0,1
27,True,1.0,1
28,True,1.0,1
29,False,1.0,0
30,True,1.0,1
31,True,1.0,1
32,True,1.0,1
33,True,1.0,1
34,True,1.0,1
35,True,1.0,1
36,True,1.0,1
38,True,1.0,1
39,True,1.0,1
40,False,1.0,0
41,False,1.0,0
42,True,1.0,1
43,True,1.0,1
44,True,1.0,1
45,True,1.0,1
46,True,1.0,1
47,True,1.0,1
48,True,1.0,1
49,True,1.0,1
50,True,1.0,1
51,True,1.0,1
52,True,1.0,1
53,True,1.0,1
54,True,1.0,1
55,True,1.0,1
56,True,1.0,1
57,True,1.0,1
58,False,1.0,0
59,True,1.0,1
60,True,1.0,1
61,True,1.0,1
62,True,1.0,1
63,True,1.0,1
64,True,1.0,1
65,True,1.0,1
66,True,1.0,1
67,True,1.0,1
68,True,1.0,1
70,True,1.0,1
71,True,1.0,1
72,True,1.0,1
73,False,1.0,0
74,True,1.0,1
75,True,1.0,1
76,False,0.0,1
77,True,1.0,1
78,True,1.0,1
79,True,0.0,0
80,True,1.0,1
81,True,1.0,1
82,True,1.0,1
83,True,1.0,1
84,True,1.0,1
85,True,1.0,1
86,False,1.0,0
87,True,1.0,1
88,False,1.0,0
89,True,1.0,1
90,True,1.0,1
91,True,1.0,1
92,True,1.0,1
93,True,1.0,1
94,True,0.0,0
95,True,1.0,1
96,True,1.0,1
97,True,1.0,1
98,True,1.0,1
99,True,1.0,1
100,True,1.0,1
