Lease,Answer,Real answer,Correct
1,"BarBell Real Estate, LLC","BarBell Real Estate, LLC",1
2,Sony Chocolate Industries Ltd.,Sony Chocolate Industries Ltd,1
3,The Wheelership LLC,The Wheelership LLC,1
4,Landlord,"Venable Tenant, LLC",0
5,"Wyoming Professional Center III, Limited Partnership",Wyomissing Professional Center III Limited Partnership,1
6,Hooten Non Exempt Family Trust B,Hooten Non Exempt Family Trust B,1
7,Landlord,"AR Industrial No. 1, Ltd",0
8,"Village Corner, LLC","Village Corner, LLC",1
9,Lessor,GH4 Partners LLC,0
10,YESCO Properties LLC,"YESCO Properties, LLC",1
11,"HOLDER INVESTMENTS, INC.","Holder Investments, Inc",1
12,"Orwig Property Management Center Square, LLC",ORWIG PROPERTY MANAGEMENT CENTER SQUARE LLC,1
13,Douglas R. Rippel,Douglas R. Rippel,1
14,"Adairsville GA, LLC","Adairsville GA, LLC",1
15,LESSOR,"Narcoossee Acquisitions, LLC",0
16,"Exponent Realty, LLC","EXPONENT REALTY, LLC",1
17,Jones Lang LaSalle,"SRE TKC CHARLESTON IV, LLC",0
18,Landlord,"BOYER RESEARCH PARK ASSOCIATES X, L.C.",0
19,Chicago Executive Airport,Chicago Executive Airport,1
20,Landlord,"UP 64 SIDNEY STREET, LLC",0
21,"Industrial Developments International, Inc.","INDUSTRIAL DEVELOPMENTS INTERNATIONAL, INC.",1
22,Landlord,"ARE-MA REGION NO. 75, LLC",0
23,John Saracano Jr,"MEADOWS OFFICE, L.L.C.",0
24,,"APT Cowork, LLC",0
25,Landlord,"Wilks Ranch Texas, LTD",0
26,Landlord,"ARE-708 QUINCE ORCHARD, LLC",0
27,"Farnam Street Financial, Inc.","FARNAM STREET FINANCIAL, INC",1
28,"INDUSTRIAS ASOCIADAS MAQUILADORAS, S.A. DE C.V.","Industrias Asociadas Maquiladoras, S.A. de C.V.",1
29,fischer eco solutions GmbH,fischer group SE & Co. KG,0
30,Landlord,"Eagle I Investments, L.L.C.",0
31,TEXAS CAPITAL BANK,CTROOK002 LLC,0
32,Landlord,"ARE-SAN FRANCISCO NO. 63, LLC",0
33,Landa Properties LLC,Landa Properties LLC,1
