Lease,Answer,Real answer,Correct
1,False,0.0,1
2,True,1.0,1
3,False,0.0,1
4,True,1.0,1
5,True,1.0,1
6,True,0.0,0
7,False,1.0,0
8,True,1.0,1
9,False,0.0,1
10,False,0.0,1
11,True,0.0,0
12,True,1.0,1
13,True,1.0,1
14,True,1.0,1
15,True,1.0,1
16,True,1.0,1
17,True,1.0,1
18,True,1.0,1
19,False,0.0,1
20,True,1.0,1
21,False,0.0,1
22,True,1.0,1
23,False,1.0,0
24,False,0.0,1
25,True,1.0,1
27,True,0.0,0
28,True,1.0,1
29,True,1.0,1
30,True,1.0,1
31,True,1.0,1
32,True,1.0,1
33,True,1.0,1
34,True,1.0,1
35,False,1.0,0
36,False,0.0,1
37,False,0.0,1
38,True,1.0,1
39,False,0.0,1
40,True,1.0,1
41,True,1.0,1
42,True,1.0,1
43,False,0.0,1
44,True,1.0,1
45,False,0.0,1
46,True,1.0,1
47,True,1.0,1
48,False,0.0,1
49,True,1.0,1
50,False,0.0,1
51,False,0.0,1
52,True,1.0,1
53,True,0.0,0
54,True,1.0,1
55,False,0.0,1
56,False,0.0,1
57,False,0.0,1
58,True,1.0,1
59,False,0.0,1
60,True,1.0,1
61,True,0.0,0
62,True,0.0,0
63,True,1.0,1
64,True,1.0,1
65,True,1.0,1
66,False,0.0,1
67,True,1.0,1
68,False,0.0,1
70,True,0.0,0
71,True,1.0,1
72,True,1.0,1
73,False,0.0,1
74,False,1.0,0
75,True,0.0,0
76,False,0.0,1
77,True,1.0,1
78,True,0.0,0
79,False,0.0,1
80,False,1.0,0
81,True,0.0,0
82,True,0.0,0
83,True,0.0,0
84,True,1.0,1
85,True,0.0,0
86,False,0.0,1
87,False,0.0,1
88,True,1.0,1
89,False,0.0,1
90,False,1.0,0
91,True,0.0,0
92,False,0.0,1
93,True,1.0,1
94,False,0.0,1
95,True,1.0,1
96,False,0.0,1
97,False,0.0,1
98,True,1.0,1
99,False,0.0,1
100,True,1.0,1
