Lease,Answer,Real answer,Correct
1,Kyle J. Beller,"BarBell Real Estate, LLC",0
2,Augmedix Bangladesh Ltd.,Sony Chocolate Industries Ltd,0
3,Licensor,The Wheelership LLC,0
4,"Venable Tenant, LLC","Venable Tenant, LLC",1
5,Marathon Business,Wyomissing Professional Center III Limited Partnership,0
6,Lessor,Hooten Non Exempt Family Trust B,0
7,Landlord,"AR Industrial No. 1, Ltd",0
8,Embassy Bank,"Village Corner, LLC",0
9,Blackstone,GH4 Partners LLC,0
10,The name of the lessor is not explicitly mentioned in the provided source document.,"YESCO Properties, LLC",0
11,"HOLDER INVESTMENTS, INC.","Holder Investments, Inc",1
12,"Orwig Property Management Center Square, LLC",ORWIG PROPERTY MANAGEMENT CENTER SQUARE LLC,1
13,"The name of the lessor is not explicitly stated in the provided source document. However, it is referred to as 'Landlord' in the context of the agreement.",Douglas R. Rippel,0
14,The name of the lessor is not explicitly mentioned in the provided source document.,"Adairsville GA, LLC",0
15,,"Narcoossee Acquisitions, LLC",0
16,"Exponent Realty, LLC","EXPONENT REALTY, LLC",1
17,Landlord,"SRE TKC CHARLESTON IV, LLC",0
18,The name of the lessor is not explicitly mentioned in the provided source document.,"BOYER RESEARCH PARK ASSOCIATES X, L.C.",0
19,PAB,Chicago Executive Airport,0
20,"UP 64 SIDNEY STREET, LLC","UP 64 SIDNEY STREET, LLC",1
21,The name of the lessor is not explicitly mentioned in the provided source document.,"INDUSTRIAL DEVELOPMENTS INTERNATIONAL, INC.",0
22,Suzie Markin and Dante Angelucci,"ARE-MA REGION NO. 75, LLC",0
23,The name of the lessor is not explicitly mentioned in the provided source document.,"MEADOWS OFFICE, L.L.C.",0
24,Owner,"APT Cowork, LLC",0
25,The name of the lessor is not explicitly mentioned in the provided source document.,"Wilks Ranch Texas, LTD",0
26,"Alexandria Real Estate Equities, Inc","ARE-708 QUINCE ORCHARD, LLC",0
27,Lessor,"FARNAM STREET FINANCIAL, INC",0
28,IAMSA,"Industrias Asociadas Maquiladoras, S.A. de C.V.",0
29,F.E.R. Fischer Edelstahlrohre GmbH,fischer group SE & Co. KG,0
30,"Eagle 1 Investments, L.L.C.","Eagle I Investments, L.L.C.",1
31,"Oak Street Real Estate Capital, LLC",CTROOK002 LLC,0
32,Dan Tsang,"ARE-SAN FRANCISCO NO. 63, LLC",0
33,Landa Properties LLC,Landa Properties LLC,1
34,Landa App LLC - 1703 Summerwoods Lane Griffin GA LLC,Landa App LLC - 1703 Summerwoods Lane Griffin GA LLC,1
35,Landa Properties LLC,Landa Properties LLC,1
36,The name of the lessor is not explicitly stated in the provided source document.,PINAL COUNTY,0
37,Anthony Nigel Sampson,Anthony Nigel Sampson,1
38,"ARE-SD REGION NO. 71, LLC","ARE-SD REGION NO. 71, LLC",1
39,"Cargill, Incorporated","CARGILL, INCORPORATED",1
40,The name of the lessor is not explicitly mentioned in the provided source document.,"BERNARDO WINDELL, LLC",0
41,The name of the lessor is not explicitly mentioned in the provided source document.,"BERNARDO WINDELL, LLC",0
42,100 Chesapeake Blvd LLC,100 CHESAPEAKE BLVD LLC,1
43,"The exact name of the lessor is not explicitly mentioned in the provided source document. The term 'Landlord' is used, but no specific name is given.","Hudson Towers at Shore Center, LLC, a Delaware limited liability company",0
44,The name of the lessor is not explicitly mentioned in the provided source document.,"Taylyn Holdings, LLC",0
45,Minoan Capital Pty Ltd,MINOAN CAPITAL PTY LTD,1
46,"Clene Nanomedicine, Inc.","UPPER CHEASPEAKE FLEX ONE, LLC",0
47,"Apple Moving, Inc.","Apple Moving, Inc.",1
48,The name of the lessor is not explicitly mentioned in the provided source document.,Sunrise Nominee Trust,0
49,"Cruiser Lane, LLC","Cruiser Lane, LLC",1
50,The name of the lessor is not explicitly mentioned in the provided source document.,NWP BUILDING 20 LLC,0
51,Phil Bosua,Phil Bosua,1
52,The name of the lessor is not explicitly mentioned in the provided source document.,VISIONS FEDERAL CREDIT UNION,0
53,Hooten Non Exempt Family Trust B,Hooten Non Exempt Family Trust B,1
54,The name of the lessor is not explicitly mentioned in the provided source document.,Trustmark National Bank,0
55,"Price-Poore House, LLC","Price-Poore House, LLC",1
56,State of Wyoming,State of Wyoming,1
57,"Queen Mary and Westfield College, University of London.",Queen Mary Bioenterprises Limited,0
58,"Sichuan Anyi Hengke Technology Co., Ltd.","Sichuan Anyi Hengke Technology Co., Ltd.",1
59,The name of the lessor is not explicitly mentioned in the provided source document.,"GIFFORD INVESTMENTS, INC.",0
60,The name of the lessor is not explicitly mentioned in the provided source document.,Kathryn Joy Atkinson,0
61,"Overlook At Rob Roy Owner (Delaware), LLC","Overlook At Rob Roy Owner, LLC",1
62,Phil Bosua,Phil Bosua,1
63,"Tianjin Information Sea Information Technology Co., LTD","Hangzhou Zhexin Information Technology Co., LTD",0
64,"Beijing Guochuan Borui Technology Co., Ltd.","Beijing Guochuan Borui Technology Co., Ltd.",1
65,"Beijing Guochuan Borui Technology Co., Ltd.","Beijing Guochuan Borui Technology Co., Ltd.",1
66,State of Wyoming,STATE OF WYOMING,1
67,The name of the lessor is not explicitly mentioned in the provided source document.,McCLELLAN FARM,0
