Lease,Answer,Real answer,Correct
1,False,0.0,1
2,True,1.0,1
3,False,0.0,1
4,True,1.0,1
5,True,1.0,1
6,True,0.0,0
7,False,1.0,0
8,True,1.0,1
9,False,0.0,1
10,False,0.0,1
11,True,0.0,0
12,True,1.0,1
13,True,1.0,1
14,True,1.0,1
15,True,1.0,1
16,True,1.0,1
17,True,1.0,1
18,True,1.0,1
19,False,0.0,1
20,True,1.0,1
21,False,0.0,1
22,True,1.0,1
23,False,1.0,0
24,False,0.0,1
25,True,1.0,1
27,True,0.0,0
28,True,1.0,1
29,True,1.0,1
30,True,1.0,1
31,True,1.0,1
32,True,1.0,1
33,True,1.0,1
34,True,1.0,1
35,True,1.0,1
36,False,0.0,1
37,False,0.0,1
38,True,1.0,1
39,False,0.0,1
40,True,1.0,1
41,True,1.0,1
42,True,1.0,1
43,False,0.0,1
