Lease,Answer,Real answer,Correct
1,Kyle J. Beller,"BarBell Real Estate, LLC",0
2,Augmedix Bangladesh Ltd.,Sony Chocolate Industries Ltd,0
3,The name of the lessor in the agreement is My LLC.,The Wheelership LLC,0
4,"The name of the lessor in the agreement is Venable Tenant, LLC.","Venable Tenant, LLC",0
5,My LLC,Wyomissing Professional Center III Limited Partnership,0
6,My LLC,Hooten Non Exempt Family Trust B,0
7,My LLC,"AR Industrial No. 1, Ltd",0
8,"Village Corner, LLC","Village Corner, LLC",1
9,GH4 Partners LLC,GH4 Partners LLC,1
10,My LLC,"YESCO Properties, LLC",0
11,"HOLDER INVESTMENTS, INC.","Holder Investments, Inc",1
12,"Orwig Property Management Center Square, LLC",ORWIG PROPERTY MANAGEMENT CENTER SQUARE LLC,1
13,My LLC,Douglas R. Rippel,0
14,My LLC,"Adairsville GA, LLC",0
15,My LLC,"Narcoossee Acquisitions, LLC",0
16,"Exponent Realty, LLC","EXPONENT REALTY, LLC",1
17,My LLC,"SRE TKC CHARLESTON IV, LLC",0
18,My LLC,"BOYER RESEARCH PARK ASSOCIATES X, L.C.",0
19,My LLC,Chicago Executive Airport,0
20,"UP 64 SIDNEY STREET, LLC","UP 64 SIDNEY STREET, LLC",1
21,My LLC,"INDUSTRIAL DEVELOPMENTS INTERNATIONAL, INC.",0
22,My LLC,"ARE-MA REGION NO. 75, LLC",0
23,"Meadows Office, L.L.C., a Delaware limited liability company","MEADOWS OFFICE, L.L.C.",0
24,"APT Cowork, LLC, a Delaware limited liability company","APT Cowork, LLC",0
25,My LLC,"Wilks Ranch Texas, LTD",0
26,My LLC,"ARE-708 QUINCE ORCHARD, LLC",0
27,My LLC,"FARNAM STREET FINANCIAL, INC",0
28,"The name of the lessor in the agreement is Industrias Asociadas Maquiladoras, S. A. de C. V.","Industrias Asociadas Maquiladoras, S.A. de C.V.",0
29,My LLC,fischer group SE & Co. KG,0
30,"Eagle 1 Investments, L.L.C.","Eagle I Investments, L.L.C.",1
31,My LLC,CTROOK002 LLC,0
32,My LLC,"ARE-SAN FRANCISCO NO. 63, LLC",0
33,Landa Properties LLC,Landa Properties LLC,1
34,Landa App LLC - 1703 Summerwoods Lane Griffin GA LLC,Landa App LLC - 1703 Summerwoods Lane Griffin GA LLC,1
35,Landa Properties LLC,Landa Properties LLC,1
36,My LLC,PINAL COUNTY,0
37,Anthony Nigel Sampson,Anthony Nigel Sampson,1
38,"ARE-SD Region No. 71, LLC, a Delaware limited liability company","ARE-SD REGION NO. 71, LLC",0
39,"Cargill, Incorporated","CARGILL, INCORPORATED",1
40,My LLC,"BERNARDO WINDELL, LLC",0
41,My LLC,"BERNARDO WINDELL, LLC",0
42,100 Chesapeake Blvd LLC,100 CHESAPEAKE BLVD LLC,1
43,My LLC,"Hudson Towers at Shore Center, LLC, a Delaware limited liability company",0
44,"Wisconsin Fertility and Reproductive Associates, S.C.","Taylyn Holdings, LLC",0
45,Minoan Capital Pty Ltd,MINOAN CAPITAL PTY LTD,1
46,The name of the lessor in the agreement is My LLC.,"UPPER CHEASPEAKE FLEX ONE, LLC",0
47,"Apple Moving, Inc.","Apple Moving, Inc.",1
48,Sunrise Nominee Trust,Sunrise Nominee Trust,1
49,"Cruiser Lane, LLC","Cruiser Lane, LLC",1
50,My LLC,NWP BUILDING 20 LLC,0
51,Phil Bosua,Phil Bosua,1
52,Visions Federal Credit Union,VISIONS FEDERAL CREDIT UNION,1
53,Hooten Non Exempt Family Trust B,Hooten Non Exempt Family Trust B,1
54,The name of the lessor in the agreement is Trustmark National Bank.,Trustmark National Bank,0
55,"Price-Poore House, LLC","Price-Poore House, LLC",1
56,"Ciner Wyoming, LLC",State of Wyoming,0
57,My LLC,Queen Mary Bioenterprises Limited,0
58,"Sichuan Anyi Hengke Technology Co., Ltd.","Sichuan Anyi Hengke Technology Co., Ltd.",1
59,My LLC,"GIFFORD INVESTMENTS, INC.",0
60,Kathryn Atkinson,Kathryn Joy Atkinson,1
61,"Overlook At Rob Roy Owner (Delaware), LLC","Overlook At Rob Roy Owner, LLC",1
62,Phil Bosua,Phil Bosua,1
63,"Hangzhou Zhexin Information Technology Co., LTD","Hangzhou Zhexin Information Technology Co., LTD",1
64,"Beijing Guochuan Borui Technology Co., Ltd.","Beijing Guochuan Borui Technology Co., Ltd.",1
65,"Beijing Guochuan Borui Technology Co., Ltd.","Beijing Guochuan Borui Technology Co., Ltd.",1
66,The name of the lessor in the agreement is State of Wyoming.,STATE OF WYOMING,0
67,My LLC,McCLELLAN FARM,0
68,"Ciner Wyoming, LLC",STATE OF WYOMING,0
69,"105 W First Street Owner, L.L.C., A Delaware Limited Liability Company","105 W. First Street Owner, L.L.C.",0
70,Mundo Talio SL,Mundo Talio SL,1
71,Steven Atkinson,Steven and Janet Atkinson,0
72,Kathryn Atkinson,Kathryn Joy Atkinson,1
73,ALC Aircraft Limited,ALC Aircraft Limited,1
74,"The name of the lessor in the agreement is 5550 Nicollet, LLC.","5550 Nicollet, LLC",0
75,My LLC,"HP LUMINA, LLC",0
76,E. & E. McLaughlin Ltd.,TARGET GROUP INC.,0
