Lease,Answer,Real answer,Correct
1,2023-07-30,2022-01-25,0
2,2024-04-01,2024-03-01,0
4,2010-10-01,2010-10-01,1
5,2007-05-01,1995-04-01,0
6,2023-01-01,2021-08-01,0
7,2010-01-31,2010-01-31,1
10,2018-02-01,2018-02-01,1
11,2027-02-28,2024-03-01,0
12,2015-09-01,2015-09-01,1
13,2017-10-01,2017-10-01,1
14,2022-01-01,2023-12-01,0
15,2017-04-01,2017-04-01,1
16,2023-05-15,2016-04-01,0
17,2020-05-01,2021-05-01,0
20,2022-01-01,2020-06-01,0
21,The lease commencement date is the day other than the first day of a calendar month.,2007-10-01,0
22,202_,2023-11-30,0
23,2023-04-15,2007-10-09,0
25,Effective Date of this Lease,2022-11-01,0
26,2019-09-01,2019-09-01,1
28,2007-09-01,2007-09-01,1
29,2021-09-01,2021-09-01,1
30,2023-01-01,2016-09-01,0
31,2020-__-__,2022-09-01,0
32,2022-01-01,2020-11-01,0
33,2022-02-01,2022-02-01,1
35,2021-11-01,2021-11-01,1
38,2021-12-01,2021-12-01,1
39,2021-11-01,2021-11-01,1
40,2020-__-__,2021-12-01,0
41,2020-__-__,2021-12-01,0
43,2021-06-01,2021-06-01,1
44,2020-10-01,2023-06-01,0
46,2021-12-01,2021-12-01,1
47,2019-11-01,2019-11-01,1
48,2022-11-01,2022-11-01,1
49,2012-02-01,2021-02-01,0
51,2021-09-01,2021-09-01,1
52,2023-01-01,2023-01-01,1
53,2023-01-01,2021-08-01,0
54,2021-06-01,2021-06-01,1
55,2022-10-01,2022-10-01,1
56,,2019-08-02,0
57,2022-10-20,2022-10-20,1
58,2021-09-01,2021-09-01,1
59,2006-03-01,2006-03-01,1
60,2022-04-01,2022-04-01,1
61,2022-01-05,2020-10-01,0
62,2021-09-01,2021-09-01,1
63,2020-09-11,2020-09-11,1
64,2021-01-18,2021-01-18,1
65,2021-01-18,2021-01-18,1
66,2029-08-01,2019-08-02,0
67,2013-08-07,2013-08-07,1
68,,2019-11-02,0
69,2022-11-01,2022-03-24,0
70,2020-09-01,2020-09-01,1
72,2022-04-01,2024-04-01,0
73,2023-03-01,2023-03-01,1
74,,2020-01-01,0
75,2015-04-26,2015-04-26,1
76,,2018-06-28,0
77,201_,2016-05-01,0
78,2021-12-01,2021-12-01,1
79,2021-02-26,2020-12-15,0
80,2019-11-01,2019-11-01,1
81,2021-12-21,2021-12-21,1
82,2023-01-01,2021-12-21,0
83,2021-12-01,2021-12-01,1
84,201_,2016-05-01,0
85,"April 26, 2015",2015-04-26,0
86,2023-03-01,2023-03-01,1
87,2023-03-01,2023-03-01,1
88,2022-04-01,2022-04-01,1
89,2022-10-20,2022-10-20,1
90,2019-11-01,2019-11-01,1
91,2023-01-01,2020-12-22,0
92,2021-02-26,2020-12-15,0
93,2018-01-29,2018-01-01,0
94,1988-02-08,1988-12-01,0
95,2021-08-12,2021-08-12,1
96,2020-01-01,2020-01-01,1
97,2021-11-01,2021-11-01,1
98,2020-03-30,2020-03-20,0
100,2013-08-07,2013-08-07,1
