Lease,Answer,Real answer,Correct
1,"Barbell Real Estate, LLC","BarBell Real Estate, LLC",1
2,Sony Chocolate Industries Ltd.,Sony Chocolate Industries Ltd,1
3,The Wheelership LLC,The Wheelership LLC,1
4,"Venable Tenant, LLC","Venable Tenant, LLC",1
5,Liability of Landlord,Wyomissing Professional Center III Limited Partnership,0
6,Hooten Non Exempt Family Trust B,Hooten Non Exempt Family Trust B,1
7,"AR Industrial No. 1, Ltd.","AR Industrial No. 1, Ltd",1
9,Gh4 Partners Llc,GH4 Partners LLC,1
10,Landlord,"YESCO Properties, LLC",0
11,"Landlord Holder Investments, Inc.","Holder Investments, Inc",1
12,"Orwig Property Management Center Square, LLC",ORWIG PROPERTY MANAGEMENT CENTER SQUARE LLC,1
13,Douglas R. Rippel,Douglas R. Rippel,1
14,Landlord,"Adairsville GA, LLC",0
15,Lessor,"Narcoossee Acquisitions, LLC",0
16,"Exponent Realty, L.L.C.","EXPONENT REALTY, LLC",1
17,Landlord,"SRE TKC CHARLESTON IV, LLC",0
18,"Boyer Research Park Associates X, L.C.","BOYER RESEARCH PARK ASSOCIATES X, L.C.",1
19,United States Government,Chicago Executive Airport,0
20,Landlord,"UP 64 SIDNEY STREET, LLC",0
21,"Industrial Developments International, Inc.","INDUSTRIAL DEVELOPMENTS INTERNATIONAL, INC.",1
22,"ARE-MA Region No. 75, LLC","ARE-MA REGION NO. 75, LLC",1
23,John Saracano Jr,"MEADOWS OFFICE, L.L.C.",0
24,"Cottonwood Capital Management, Inc.","APT Cowork, LLC",0
25,Landlord,"Wilks Ranch Texas, LTD",0
26,"ARE-708 Quince Orchard, LLC, a Delaware limited liability company","ARE-708 QUINCE ORCHARD, LLC",0
27,The lessor in the agreement is referred to as Lessor.,"FARNAM STREET FINANCIAL, INC",0
28,"Industrias Asociadas Maquiladoras, S.A. de C.V.","Industrias Asociadas Maquiladoras, S.A. de C.V.",1
29,Fischer Eco Solutions GmbH,fischer group SE & Co. KG,0
30,Landlord,"Eagle I Investments, L.L.C.",0
31,Ctrook002 Llc,CTROOK002 LLC,1
32,"ARE-San Francisco No. 63, LLC","ARE-SAN FRANCISCO NO. 63, LLC",1
33,Landa Properties LLC,Landa Properties LLC,1
