Lease,Answer,Real answer,Correct
1,0,0.0,1
2,0,1.0,0
3,0,0.0,1
4,1,1.0,1
5,1,1.0,1
6,0,0.0,1
7,0,1.0,0
8,1,1.0,1
9,0,0.0,1
10,0,0.0,1
11,0,0.0,1
12,1,1.0,1
13,1,1.0,1
14,1,1.0,1
15,1,1.0,1
16,1,1.0,1
17,1,1.0,1
18,1,1.0,1
19,0,0.0,1
20,1,1.0,1
21,0,0.0,1
22,1,1.0,1
23,0,1.0,0
24,1,0.0,0
25,1,1.0,1
27,1,0.0,0
28,1,1.0,1
29,1,1.0,1
30,1,1.0,1
31,1,1.0,1
32,1,1.0,1
33,0,1.0,0
34,1,1.0,1
35,0,1.0,0
36,0,0.0,1
37,0,0.0,1
38,1,1.0,1
39,0,0.0,1
40,1,1.0,1
41,1,1.0,1
42,1,1.0,1
43,0,0.0,1
44,1,1.0,1
45,0,0.0,1
46,1,1.0,1
47,1,1.0,1
48,0,0.0,1
49,1,1.0,1
50,0,0.0,1
51,0,0.0,1
52,1,1.0,1
53,0,0.0,1
54,1,1.0,1
55,0,0.0,1
56,0,0.0,1
57,0,0.0,1
58,1,1.0,1
59,0,0.0,1
60,1,1.0,1
61,1,0.0,0
62,0,0.0,1
63,1,1.0,1
64,1,1.0,1
65,1,1.0,1
66,0,0.0,1
67,1,1.0,1
68,0,0.0,1
70,1,0.0,0
71,1,1.0,1
72,1,1.0,1
73,0,0.0,1
74,0,1.0,0
75,0,0.0,1
76,0,0.0,1
77,1,1.0,1
78,1,0.0,0
79,0,0.0,1
80,0,1.0,0
81,1,0.0,0
82,1,0.0,0
83,1,0.0,0
84,1,1.0,1
85,0,0.0,1
86,0,0.0,1
87,0,0.0,1
88,1,1.0,1
89,0,0.0,1
90,1,1.0,1
91,0,0.0,1
92,0,0.0,1
93,1,1.0,1
94,0,0.0,1
95,1,1.0,1
96,0,0.0,1
97,0,0.0,1
98,1,1.0,1
99,1,0.0,0
100,1,1.0,1
