Lease,Answer,Real answer,Correct
1,1,1.0,1
2,1,1.0,1
3,1,1.0,1
4,1,1.0,1
5,0,1.0,0
6,1,1.0,1
7,1,1.0,1
8,0,1.0,0
9,0,0.0,1
10,0,1.0,0
11,0,1.0,0
12,0,1.0,0
13,0,1.0,0
14,1,1.0,1
15,0,0.0,1
16,0,1.0,0
17,1,0.0,0
18,0,0.0,1
19,1,1.0,1
20,0,1.0,0
21,1,1.0,1
22,0,1.0,0
23,1,1.0,1
24,1,1.0,1
25,1,1.0,1
26,0,1.0,0
27,0,1.0,0
28,1,1.0,1
29,1,1.0,1
30,0,1.0,0
31,1,0.0,0
32,0,1.0,0
33,0,0.0,1
34,0,0.0,1
35,0,0.0,1
36,1,1.0,1
38,0,1.0,0
39,1,1.0,1
40,1,1.0,1
41,1,1.0,1
42,1,0.0,0
43,1,1.0,1
44,1,1.0,1
45,0,0.0,1
46,0,1.0,0
47,0,0.0,1
48,0,1.0,0
49,0,0.0,1
50,0,0.0,1
51,0,1.0,0
52,0,1.0,0
53,1,1.0,1
54,0,0.0,1
55,0,1.0,0
56,0,0.0,1
57,1,1.0,1
58,1,1.0,1
59,1,1.0,1
60,1,1.0,1
61,0,1.0,0
62,0,1.0,0
63,0,1.0,0
64,0,1.0,0
65,0,1.0,0
66,0,0.0,1
67,0,1.0,0
68,0,0.0,1
70,1,1.0,1
71,1,1.0,1
72,1,1.0,1
73,0,0.0,1
74,1,1.0,1
75,1,1.0,1
76,0,0.0,1
77,1,1.0,1
78,0,1.0,0
79,0,0.0,1
80,0,1.0,0
81,1,0.0,0
82,1,0.0,0
83,1,1.0,1
84,0,1.0,0
85,1,1.0,1
86,0,0.0,1
87,0,0.0,1
88,1,1.0,1
89,1,1.0,1
90,0,1.0,0
91,1,1.0,1
92,0,0.0,1
93,1,1.0,1
94,0,0.0,1
95,1,1.0,1
96,1,1.0,1
97,1,1.0,1
98,1,1.0,1
99,1,1.0,1
100,0,1.0,0
