Lease,Answer,Real answer,Correct
1,0,1.0,0
2,1,1.0,1
3,1,1.0,1
4,1,1.0,1
5,1,1.0,1
6,1,1.0,1
7,0,1.0,0
8,0,1.0,0
9,1,1.0,1
10,0,1.0,0
11,1,1.0,1
12,0,1.0,0
13,1,1.0,1
15,1,1.0,1
16,1,1.0,1
17,1,1.0,1
18,1,1.0,1
19,1,1.0,1
20,0,1.0,0
21,0,1.0,0
22,1,1.0,1
24,1,1.0,1
25,1,1.0,1
26,1,1.0,1
27,1,1.0,1
28,1,1.0,1
30,1,1.0,1
31,0,1.0,0
32,0,1.0,0
33,1,1.0,1
34,1,1.0,1
35,1,1.0,1
36,1,1.0,1
38,0,1.0,0
39,0,1.0,0
40,1,1.0,1
41,1,1.0,1
42,0,1.0,0
43,1,1.0,1
44,1,1.0,1
46,0,1.0,0
47,1,1.0,1
48,1,1.0,1
50,0,1.0,0
51,1,1.0,1
52,1,1.0,1
53,1,1.0,1
54,1,1.0,1
55,0,1.0,0
56,1,1.0,1
57,0,1.0,0
58,1,1.0,1
59,1,1.0,1
60,1,1.0,1
61,1,1.0,1
63,1,1.0,1
65,1,1.0,1
66,1,1.0,1
67,1,1.0,1
68,1,1.0,1
70,0,1.0,0
72,1,1.0,1
73,0,1.0,0
74,1,1.0,1
75,1,1.0,1
76,0,0.0,1
77,1,1.0,1
79,1,0.0,0
80,1,1.0,1
82,1,1.0,1
83,1,1.0,1
84,1,1.0,1
85,1,1.0,1
86,0,1.0,0
87,0,1.0,0
88,0,1.0,0
90,1,1.0,1
91,1,1.0,1
92,1,1.0,1
93,1,1.0,1
94,0,0.0,1
96,1,1.0,1
97,0,1.0,0
98,1,1.0,1
99,1,1.0,1
100,1,1.0,1
